Word	Category	Study
Egg Roll	Charades - Food & Snacks	
Fortune Cookie	Charades - Food & Snacks	
Pancakes	Charades - Food & Snacks	
Waffles	Charades - Food & Snacks	
French Toast	Charades - Food & Snacks	
Cereal	Charades - Food & Snacks	
Oatmeal	Charades - Food & Snacks	
Bacon	Charades - Food & Snacks	
Scrambled Eggs	Charades - Food & Snacks	
Fried Egg	Charades - Food & Snacks	
Toast	Charades - Food & Snacks	
Bagel	Charades - Food & Snacks	
Pretzel	Charades - Food & Snacks	
Soft Pretzel	Charades - Food & Snacks	
Chips	Charades - Food & Snacks	
Crackers	Charades - Food & Snacks	
Cheese Puffs	Charades - Food & Snacks	
Milkshake	Charades - Food & Snacks	
Smoothie	Charades - Food & Snacks	
Slushie	Charades - Food & Snacks	
Soda Pop	Charades - Food & Snacks	
Juice Box	Charades - Food & Snacks	
Lemonade	Charades - Food & Snacks	
Hot Chocolate	Charades - Food & Snacks	
Coffee	Charades - Food & Snacks	
Tea	Charades - Food & Snacks	
Milk	Charades - Food & Snacks	
Soup	Charades - Food & Snacks	
Chili	Charades - Food & Snacks	
Mac and Cheese	Charades - Food & Snacks	
Mashed Potatoes	Charades - Food & Snacks	
Gravy	Charades - Food & Snacks	
Fried Chicken	Charades - Food & Snacks	
Chicken Wings	Charades - Food & Snacks	
Ribs	Charades - Food & Snacks	
Steak	Charades - Food & Snacks	
Meatballs	Charades - Food & Snacks	
Fish Sticks	Charades - Food & Snacks	
Shrimp	Charades - Food & Snacks	
Lobster	Charades - Food & Snacks	
Crab Legs	Charades - Food & Snacks	
Clam Chowder	Charades - Food & Snacks	
Cheese	Charades - Food & Snacks	
String Cheese	Charades - Food & Snacks	
Cheese Pizza	Charades - Food & Snacks	
Pepperoni Pizza	Charades - Food & Snacks	
Cheese Quesadilla	Charades - Food & Snacks	
Funnel Cake	Charades - Food & Snacks	
Churro	Charades - Food & Snacks	
Cinnamon Roll	Charades - Food & Snacks	
Apple Pie	Charades - Food & Snacks	
Ice Cream Sundae	Charades - Food & Snacks	
Dog	Charades - Animals	
Cat	Charades - Animals	
Bunny	Charades - Animals	
Hamster	Charades - Animals	
Goldfish	Charades - Animals	
Puppy	Charades - Animals	
Kitten	Charades - Animals	
Duckling	Charades - Animals	
Chick	Charades - Animals	
Piglet	Charades - Animals	
Horse	Charades - Animals	
Pony	Charades - Animals	
Cow	Charades - Animals	
Pig	Charades - Animals	
Sheep	Charades - Animals	
Goat	Charades - Animals	
Chicken	Charades - Animals	
Rooster	Charades - Animals	
Duck	Charades - Animals	
Goose	Charades - Animals	
Frog	Charades - Animals	
Toad	Charades - Animals	
Turtle	Charades - Animals	
Snail	Charades - Animals	
Caterpillar	Charades - Animals	
Butterfly	Charades - Animals	
Ladybug	Charades - Animals	
Bee	Charades - Animals	
Ant	Charades - Animals	
Spider	Charades - Animals	
Lion	Charades - Animals	
Tiger	Charades - Animals	
Bear	Charades - Animals	
Elephant	Charades - Animals	
Giraffe	Charades - Animals	
Zebra	Charades - Animals	
Hippo	Charades - Animals	
Rhino	Charades - Animals	
Gorilla	Charades - Animals	
Monkey	Charades - Animals	
Kangaroo	Charades - Animals	
Koala	Charades - Animals	
Panda	Charades - Animals	
Sloth	Charades - Animals	
Penguin	Charades - Animals	
Polar Bear	Charades - Animals	
Seal	Charades - Animals	
Walrus	Charades - Animals	
Otter	Charades - Animals	
Beaver	Charades - Animals	
Dolphin	Charades - Animals	
Whale	Charades - Animals	
Shark	Charades - Animals	
Octopus	Charades - Animals	
Jellyfish	Charades - Animals	
Starfish	Charades - Animals	
Crab	Charades - Animals	
Lobster	Charades - Animals	
Seahorse	Charades - Animals	
Clownfish	Charades - Animals	
Eagle	Charades - Animals	
Owl	Charades - Animals	
Parrot	Charades - Animals	
Flamingo	Charades - Animals	
Peacock	Charades - Animals	
Toucan	Charades - Animals	
Hummingbird	Charades - Animals	
Swan	Charades - Animals	
Pelican	Charades - Animals	
Woodpecker	Charades - Animals	
Snake	Charades - Animals	
Lizard	Charades - Animals	
Alligator	Charades - Animals	
Crocodile	Charades - Animals	
Chameleon	Charades - Animals	
T-Rex	Charades - Animals	
Triceratops	Charades - Animals	
Pterodactyl	Charades - Animals	
Brontosaurus	Charades - Animals	
Velociraptor	Charades - Animals	
Unicorn	Charades - Animals	
Dragon	Charades - Animals	
Pegasus	Charades - Animals	
Phoenix	Charades - Animals	
Mermaid	Charades - Animals	
Wolf	Charades - Animals	
Fox	Charades - Animals	
Deer	Charades - Animals	
Moose	Charades - Animals	
Reindeer	Charades - Animals	
Squirrel	Charades - Animals	
Chipmunk	Charades - Animals	
Raccoon	Charades - Animals	
Skunk	Charades - Animals	
Hedgehog	Charades - Animals	
Bat	Charades - Animals	
Mouse	Charades - Animals	
Cheetah	Charades - Animals	
Camel	Charades - Animals	
Llama	Charades - Animals	
Alligator	Animals - Easy	
Ant	Animals - Easy	
Anteater	Animals - Easy	
Bat	Animals - Easy	
Bear	Animals - Easy	
Beaver	Animals - Easy	
Bee	Animals - Easy	
Beetle	Animals - Easy	
Bison	Animals - Easy	
Butterfly	Animals - Easy	
Camel	Animals - Easy	
Capybara	Animals - Easy	
Cat	Animals - Easy	
Caterpillar	Animals - Easy	
Cheetah	Animals - Easy	
Chicken	Animals - Easy	
Cow	Animals - Easy	
Crab	Animals - Easy	
Deer	Animals - Easy	
Dog	Animals - Easy	
Dolphin	Animals - Easy	
Donkey	Animals - Easy	
Duck	Animals - Easy	
Eagle	Animals - Easy	
Elephant	Animals - Easy	
Flamingo	Animals - Easy	
Frog	Animals - Easy	
Giraffe	Animals - Easy	
Goat	Animals - Easy	
Goldfish	Animals - Easy	
Goose	Animals - Easy	
Gorilla	Animals - Easy	
Great White Shark	Animals - Easy	
Guinea Pig	Animals - Easy	
Hammerhead Shark	Animals - Easy	
Hamster	Animals - Easy	
Hedgehog	Animals - Easy	
Hippo	Animals - Easy	
Horse	Animals - Easy	
Jellyfish	Animals - Easy	
Kangaroo	Animals - Easy	
King Cobra	Animals - Easy	
Koala	Animals - Easy	
Ladybug	Animals - Easy	
Leopard	Animals - Easy	
Lion	Animals - Easy	
Lizard	Animals - Easy	
Lobster	Animals - Easy	
Manatee	Animals - Easy	
Meerkat	Animals - Easy	
Monkey	Animals - Easy	
Moose	Animals - Easy	
Mouse	Animals - Easy	
Octopus	Animals - Easy	
Orca	Animals - Easy	
Owl	Animals - Easy	
Panda	Animals - Easy	
Parrot	Animals - Easy	
Peacock	Animals - Easy	
Penguin	Animals - Easy	
Pig	Animals - Easy	
Platypus	Animals - Easy	
Polar Bear	Animals - Easy	
Porcupine	Animals - Easy	
Rabbit	Animals - Easy	
Raccoon	Animals - Easy	
Rat	Animals - Easy	
Rattlesnake	Animals - Easy	
Reindeer	Animals - Easy	
Rhino	Animals - Easy	
Salamander	Animals - Easy	
Scorpion	Animals - Easy	
Sea Turtle	Animals - Easy	
Seahorse	Animals - Easy	
Seal	Animals - Easy	
Shark	Animals - Easy	
Sheep	Animals - Easy	
Sloth	Animals - Easy	
Snake	Animals - Easy	
Spider	Animals - Easy	
Squirrel	Animals - Easy	
Starfish	Animals - Easy	
Stingray	Animals - Easy	
Swan	Animals - Easy	
Tarantula	Animals - Easy	
Tiger	Animals - Easy	
Tortoise	Animals - Easy	
Toucan	Animals - Easy	
Turkey	Animals - Easy	
Turtle	Animals - Easy	
Walrus	Animals - Easy	
Whale	Animals - Easy	
Wolf	Animals - Easy	
Wolverine	Animals - Easy	
Woodpecker	Animals - Easy	
Zebra	Animals - Easy	
Albatross	Animals - Medium	
Alpaca	Animals - Medium	
Anaconda	Animals - Medium	
Antelope	Animals - Medium	
Armadillo	Animals - Medium	
Axolotl	Animals - Medium	
Barracuda	Animals - Medium	
Beluga	Animals - Medium	
Black Bear	Animals - Medium	
Blue Whale	Animals - Medium	
Capuchin Monkey	Animals - Medium	
Caribou	Animals - Medium	
Chameleon	Animals - Medium	
Chimpanzee	Animals - Medium	
Chipmunk	Animals - Medium	
Coyote	Animals - Medium	
Crocodile	Animals - Medium	
Cuttlefish	Animals - Medium	
Dugong	Animals - Medium	
Echidna	Animals - Medium	
Emu	Animals - Medium	
Fox	Animals - Medium	
Frilled Lizard	Animals - Medium	
Gecko	Animals - Medium	
Gibbon	Animals - Medium	
Gila Monster	Animals - Medium	
Grizzly Bear	Animals - Medium	
Honey Badger	Animals - Medium	
Horseshoe Crab	Animals - Medium	
Humpback Whale	Animals - Medium	
Hyena	Animals - Medium	
Iguana	Animals - Medium	
Jaguar	Animals - Medium	
Komodo Dragon	Animals - Medium	
Llama	Animals - Medium	
Manta Ray	Animals - Medium	
Marine Iguana	Animals - Medium	
Marmoset	Animals - Medium	
Marten	Animals - Medium	
Mink	Animals - Medium	
Moray Eel	Animals - Medium	
Musk Ox	Animals - Medium	
Narwhal	Animals - Medium	
Newt	Animals - Medium	
Orangutan	Animals - Medium	
Otter	Animals - Medium	
Poison Dart Frog	Animals - Medium	
Portuguese Man O' War	Animals - Medium	
Praying Mantis	Animals - Medium	
Puffin	Animals - Medium	
Python	Animals - Medium	
Quokka	Animals - Medium	
Sailfish	Animals - Medium	
Scorpion	Animals - Medium	
Skunk	Animals - Medium	
Sperm Whale	Animals - Medium	
Squid	Animals - Medium	
Stick Insect	Animals - Medium	
Tasmanian Devil	Animals - Medium	
Tuna	Animals - Medium	
Viper	Animals - Medium	
Weasel	Animals - Medium	
Whale Shark	Animals - Medium	
Wombat	Animals - Medium	
Aye-Aye	Animals - Hard	
Bearded Dragon	Animals - Hard	
Black Mamba	Animals - Hard	
Bonobo	Animals - Hard	
Box Jellyfish	Animals - Hard	
Bullet Ant	Animals - Hard	
Caiman	Animals - Hard	
Cane Toad	Animals - Hard	
Cape Buffalo	Animals - Hard	
Cassowary	Animals - Hard	
Civet	Animals - Hard	
Coati	Animals - Hard	
Fisher	Animals - Hard	
Howler Monkey	Animals - Hard	
Kinkajou	Animals - Hard	
Kookaburra	Animals - Hard	
Leafcutter Ant	Animals - Hard	
Mandrill	Animals - Hard	
Marlin	Animals - Hard	
Nautilus	Animals - Hard	
Ocelot	Animals - Hard	
Okapi	Animals - Hard	
Pangolin	Animals - Hard	
Proboscis Monkey	Animals - Hard	
Serval	Animals - Hard	
Shoebill	Animals - Hard	
Star-Nosed Mole	Animals - Hard	
Stoat	Animals - Hard	
Takin	Animals - Hard	
Tamarin	Animals - Hard	
Tapir	Animals - Hard	
Zebra Finch	Animals - Hard	
Toaster	Household Objects	
Lamp	Household Objects	
Sofa	Household Objects	
Fridge	Household Objects	
Microwave	Household Objects	
Television	Household Objects	
Bed	Household Objects	
Chair	Household Objects	
Table	Household Objects	
Mirror	Household Objects	
Clock	Household Objects	
Vase	Household Objects	
Rug	Household Objects	
Curtain	Household Objects	
Pillow	Household Objects	
Blanket	Household Objects	
Towel	Household Objects	
Soap	Household Objects	
Toothbrush	Household Objects	
Comb	Household Objects	
Blender	Household Objects	
Coffee Maker	Household Objects	
Dishwasher	Household Objects	
Washing Machine	Household Objects	
Dryer	Household Objects	
Iron	Household Objects	
Vacuum Cleaner	Household Objects	
Broom	Household Objects	
Mop	Household Objects	
Dustpan	Household Objects	
Trash Can	Household Objects	
Recycling Bin	Household Objects	
Bookshelf	Household Objects	
Dresser	Household Objects	
Nightstand	Household Objects	
Desk	Household Objects	
Filing Cabinet	Household Objects	
Picture Frame	Household Objects	
Candle	Household Objects	
Plant Pot	Household Objects	
Couch	Household Objects	
Recliner	Household Objects	
Ottoman	Household Objects	
Coffee Table	Household Objects	
End Table	Household Objects	
Dining Table	Household Objects	
Bar Stool	Household Objects	
Rocking Chair	Household Objects	
Bean Bag	Household Objects	
Hammock	Household Objects	
Chandelier	Household Objects	
Ceiling Fan	Household Objects	
Floor Lamp	Household Objects	
Nightlight	Household Objects	
Light Switch	Household Objects	
Door Handle	Household Objects	
Window Blinds	Household Objects	
Doormat	Household Objects	
Coat Rack	Household Objects	
Shoe Rack	Household Objects	
Laundry Basket	Household Objects	
Hamper	Household Objects	
Shower Curtain	Household Objects	
Bath Mat	Household Objects	
Toilet Paper	Household Objects	
Plunger	Household Objects	
Toilet Brush	Household Objects	
Hair Dryer	Household Objects	
Curling Iron	Household Objects	
Electric Razor	Household Objects	
Scale	Household Objects	
First Aid Kit	Household Objects	
Fire Extinguisher	Household Objects	
Smoke Detector	Household Objects	
Thermostat	Household Objects	
Santa Claus	Christmas Kids Party	
Rudolph	Christmas Kids Party	
Snowman	Christmas Kids Party	
Elf	Christmas Kids Party	
Reindeer	Christmas Kids Party	
Christmas Tree	Christmas Kids Party	
Candy Cane	Christmas Kids Party	
Gingerbread Man	Christmas Kids Party	
Snowflake	Christmas Kids Party	
Present	Christmas Kids Party	
Stocking	Christmas Kids Party	
Jingle Bells	Christmas Kids Party	
Hot Cocoa	Christmas Kids Party	
Mittens	Christmas Kids Party	
Scarf	Christmas Kids Party	
Snow Angel	Christmas Kids Party	
Igloo	Christmas Kids Party	
Penguin	Christmas Kids Party	
Polar Bear	Christmas Kids Party	
Sleigh	Christmas Kids Party	
Wreath	Christmas Kids Party	
Ornament	Christmas Kids Party	
Star	Christmas Kids Party	
Angel	Christmas Kids Party	
Snowball	Christmas Kids Party	
Winter Hat	Christmas Kids Party	
Earmuffs	Christmas Kids Party	
Boots	Christmas Kids Party	
Fireplace	Christmas Kids Party	
Chimney	Christmas Kids Party	
Cookies	Christmas Kids Party	
Milk	Christmas Kids Party	
Gingerbread House	Christmas Kids Party	
Frosty	Christmas Kids Party	
North Pole	Christmas Kids Party	
Toy Workshop	Christmas Kids Party	
Mrs. Claus	Christmas Kids Party	
Nutcracker	Christmas Kids Party	
Drummer Boy	Christmas Kids Party	
Christmas Lights	Christmas Kids Party	
Caroling	Christmas Kids Party	
Mistletoe	Christmas Kids Party	
Holly	Christmas Kids Party	
Poinsettia	Christmas Kids Party	
Snow Globe	Christmas Kids Party	
Tinsel	Christmas Kids Party	
Garland	Christmas Kids Party	
Bow	Christmas Kids Party	
Ribbon	Christmas Kids Party	
Gift Wrap	Christmas Kids Party	
Ice Skating	Christmas Kids Party	
Sledding	Christmas Kids Party	
Snowball Fight	Christmas Kids Party	
Building a Snowman	Christmas Kids Party	
Hot Chocolate	Christmas Kids Party	
Marshmallows	Christmas Kids Party	
Candy	Christmas Kids Party	
Sugar Plum	Christmas Kids Party	
Sugarplum Fairy	Christmas Kids Party	
Toy Soldier	Christmas Kids Party	
Jack Frost	Christmas Kids Party	
Winter Wonderland	Christmas Kids Party	
Icicle	Christmas Kids Party	
Frozen Pond	Christmas Kids Party	
Snowy Mountain	Christmas Kids Party	
Cozy Blanket	Christmas Kids Party	
Fireplace	Christmas Kids Party	
Christmas Movie	Christmas Kids Party	
Christmas Song	Christmas Kids Party	
Jingle	Christmas Kids Party	
Festive	Christmas Kids Party	
Merry	Christmas Kids Party	
Jolly	Christmas Kids Party	
Sparkly	Christmas Kids Party	
Magical	Christmas Kids Party	
Twinkling Lights	Christmas Kids Party	
Red Nose	Christmas Kids Party	
Antlers	Christmas Kids Party	
Santa Hat	Christmas Kids Party	
Elf Shoes	Christmas Kids Party	
Toy Train	Christmas Kids Party	
Teddy Bear	Christmas Kids Party	
Doll	Christmas Kids Party	
Toy Car	Christmas Kids Party	
Building Blocks	Christmas Kids Party	
Puzzle	Christmas Kids Party	
Board Game	Christmas Kids Party	
Coloring Book	Christmas Kids Party	
Crayons	Christmas Kids Party	
Play-Doh	Christmas Kids Party	
Balloon	Christmas Kids Party	
Party Hat	Christmas Kids Party	
Noisemaker	Christmas Kids Party	
Confetti	Christmas Kids Party	
Streamers	Christmas Kids Party	
Cupcake	Christmas Kids Party	
Birthday Cake	Christmas Kids Party	
Ice Cream	Christmas Kids Party	
Lollipop	Christmas Kids Party	
Chocolate	Christmas Kids Party	
Pizza	Family Fun	
Hamburger	Family Fun	
Ice Cream	Family Fun	
Popcorn	Family Fun	
Spaghetti	Family Fun	
Pancakes	Family Fun	
Waffles	Family Fun	
Tacos	Family Fun	
Sandwich	Family Fun	
Hot Dog	Family Fun	
Bicycle	Family Fun	
Skateboard	Family Fun	
Scooter	Family Fun	
Roller Skates	Family Fun	
Trampoline	Family Fun	
Swing	Family Fun	
Slide	Family Fun	
Seesaw	Family Fun	
Merry-Go-Round	Family Fun	
Jungle Gym	Family Fun	
Beach Ball	Family Fun	
Frisbee	Family Fun	
Kite	Family Fun	
Jump Rope	Family Fun	
Hula Hoop	Family Fun	
Bubble Wand	Family Fun	
Water Balloon	Family Fun	
Sprinkler	Family Fun	
Pool Noodle	Family Fun	
Floatie	Family Fun	
Camping	Family Fun	
Tent	Family Fun	
Campfire	Family Fun	
Marshmallow	Family Fun	
Sleeping Bag	Family Fun	
Flashlight	Family Fun	
Binoculars	Family Fun	
Compass	Family Fun	
Hiking	Family Fun	
Fishing Rod	Family Fun	
Treehouse	Family Fun	
Fort	Family Fun	
Pillow Fort	Family Fun	
Blanket Fort	Family Fun	
Hide and Seek	Family Fun	
Tag	Family Fun	
Duck Duck Goose	Family Fun	
Red Light Green Light	Family Fun	
Simon Says	Family Fun	
Musical Chairs	Family Fun	
Karaoke	Family Fun	
Dance Party	Family Fun	
Limbo	Family Fun	
Freeze Dance	Family Fun	
Conga Line	Family Fun	
Magic Show	Family Fun	
Puppet Show	Family Fun	
Shadow Puppets	Family Fun	
Charades	Family Fun	
Pictionary	Family Fun	
Bowling	Family Fun	
Mini Golf	Family Fun	
Arcade	Family Fun	
Bumper Cars	Family Fun	
Ferris Wheel	Family Fun	
Roller Coaster	Family Fun	
Cotton Candy	Family Fun	
Funnel Cake	Family Fun	
Corn Dog	Family Fun	
Snow Cone	Family Fun	
Zoo	Family Fun	
Aquarium	Family Fun	
Museum	Family Fun	
Planetarium	Family Fun	
Water Park	Family Fun	
Beach	Family Fun	
Sandcastle	Family Fun	
Seashell	Family Fun	
Surfboard	Family Fun	
Snorkeling	Family Fun	
Airplane	Family Fun	
Hot Air Balloon	Family Fun	
Helicopter	Family Fun	
Train	Family Fun	
School Bus	Family Fun	
Fire Truck	Family Fun	
Police Car	Family Fun	
Ambulance	Family Fun	
Tow Truck	Family Fun	
Dump Truck	Family Fun	
Superhero	Family Fun	
Princess	Family Fun	
Pirate	Family Fun	
Cowboy	Family Fun	
Astronaut	Family Fun	
Dinosaur	Family Fun	
Robot	Family Fun	
Unicorn	Family Fun	
Dragon	Family Fun	
Mermaid	Family Fun	
Alabama	US Geography	Y
Montgomery	US Geography	Y
Alaska	US Geography	Y
Juneau	US Geography	Y
Arizona	US Geography	Y
Phoenix	US Geography	Y
Arkansas	US Geography	Y
Little Rock	US Geography	Y
California	US Geography	Y
Sacramento	US Geography	Y
Colorado	US Geography	Y
Denver	US Geography	Y
Connecticut	US Geography	Y
Hartford	US Geography	Y
Delaware	US Geography	Y
Dover	US Geography	Y
Florida	US Geography	Y
Tallahassee	US Geography	Y
Georgia	US Geography	Y
Atlanta	US Geography	Y
Hawaii	US Geography	Y
Honolulu	US Geography	Y
Idaho	US Geography	Y
Boise	US Geography	Y
Illinois	US Geography	Y
Springfield	US Geography	Y
Indiana	US Geography	Y
Indianapolis	US Geography	Y
Iowa	US Geography	Y
Des Moines	US Geography	Y
Kansas	US Geography	Y
Topeka	US Geography	Y
Kentucky	US Geography	Y
Frankfort	US Geography	Y
Louisiana	US Geography	Y
Baton Rouge	US Geography	Y
Maine	US Geography	Y
Augusta	US Geography	Y
Maryland	US Geography	Y
Annapolis	US Geography	Y
Massachusetts	US Geography	Y
Boston	US Geography	Y
Michigan	US Geography	Y
Lansing	US Geography	Y
Minnesota	US Geography	Y
Saint Paul	US Geography	Y
Mississippi	US Geography	Y
Jackson	US Geography	Y
Missouri	US Geography	Y
Jefferson City	US Geography	Y
Montana	US Geography	Y
Helena	US Geography	Y
Nebraska	US Geography	Y
Lincoln	US Geography	Y
Nevada	US Geography	Y
Carson City	US Geography	Y
New Hampshire	US Geography	Y
Concord	US Geography	Y
New Jersey	US Geography	Y
Trenton	US Geography	Y
New Mexico	US Geography	Y
Santa Fe	US Geography	Y
New York	US Geography	Y
Albany	US Geography	Y
North Carolina	US Geography	Y
Raleigh	US Geography	Y
North Dakota	US Geography	Y
Bismarck	US Geography	Y
Ohio	US Geography	Y
Columbus	US Geography	Y
Oklahoma	US Geography	Y
Oklahoma City	US Geography	Y
Oregon	US Geography	Y
Salem	US Geography	Y
Pennsylvania	US Geography	Y
Harrisburg	US Geography	Y
Rhode Island	US Geography	Y
Providence	US Geography	Y
South Carolina	US Geography	Y
Columbia	US Geography	Y
South Dakota	US Geography	Y
Pierre	US Geography	Y
Tennessee	US Geography	Y
Nashville	US Geography	Y
Texas	US Geography	Y
Austin	US Geography	Y
Utah	US Geography	Y
Salt Lake City	US Geography	Y
Vermont	US Geography	Y
Montpelier	US Geography	Y
Virginia	US Geography	Y
Richmond	US Geography	Y
Washington	US Geography	Y
Olympia	US Geography	Y
West Virginia	US Geography	Y
Charleston	US Geography	Y
Wisconsin	US Geography	Y
Madison	US Geography	Y
Wyoming	US Geography	Y
Cheyenne	US Geography	Y
New York City	US Geography	Y
Los Angeles	US Geography	Y
Chicago	US Geography	Y
Houston	US Geography	Y
Miami	US Geography	Y
San Francisco	US Geography	Y
Seattle	US Geography	Y
Las Vegas	US Geography	Y
San Diego	US Geography	Y
Dallas	US Geography	Y
San Antonio	US Geography	Y
Philadelphia	US Geography	Y
Detroit	US Geography	Y
Portland	US Geography	Y
Minneapolis	US Geography	Y
New Orleans	US Geography	Y
Baltimore	US Geography	Y
Milwaukee	US Geography	Y
Cleveland	US Geography	Y
Pittsburgh	US Geography	Y
Cincinnati	US Geography	Y
Kansas City	US Geography	Y
Tampa	US Geography	Y
Orlando	US Geography	Y
Charlotte	US Geography	Y
Statue of Liberty	US Geography	Y
Golden Gate Bridge	US Geography	Y
Mount Rushmore	US Geography	Y
Hollywood Sign	US Geography	Y
Empire State Building	US Geography	Y
White House	US Geography	Y
Lincoln Memorial	US Geography	Y
Washington Monument	US Geography	Y
Space Needle	US Geography	Y
Gateway Arch	US Geography	Y
Brooklyn Bridge	US Geography	Y
Hoover Dam	US Geography	Y
Freedom Trail	US Geography	Y
Alcatraz Island	US Geography	Y
Pearl Harbor	US Geography	Y
Independence Hall	US Geography	Y
Liberty Bell	US Geography	Y
Niagara Falls	US Geography	Y
Times Square	US Geography	Y
Central Park	US Geography	Y
Grand Central Station	US Geography	Y
Las Vegas Strip	US Geography	Y
Navy Pier	US Geography	Y
Fisherman's Wharf	US Geography	Y
French Quarter	US Geography	Y
Grand Canyon	US Geography	Y
Yellowstone	US Geography	Y
Yosemite	US Geography	Y
Zion	US Geography	Y
Glacier Nat'l Park	US Geography	Y
Rocky Mountain	US Geography	Y
Great Smoky Mountains	US Geography	Y
Acadia	US Geography	Y
Olympic Nat'l Park	US Geography	Y
Joshua Tree	US Geography	Y
Death Valley	US Geography	Y
Everglades	US Geography	Y
Bryce Canyon	US Geography	Y
Arches	US Geography	Y
Sequoia	US Geography	Y
Redwood	US Geography	Y
Denali	US Geography	Y
Hawaii Volcanoes	US Geography	Y
Crater Lake	US Geography	Y
Mesa Verde	US Geography	Y
Badlands	US Geography	Y
Shenandoah	US Geography	Y
Big Bend	US Geography	Y
Canyonlands	US Geography	Y
Capitol Reef	US Geography	Y
Mississippi River	US Geography	Y
Colorado River	US Geography	Y
Missouri River	US Geography	Y
Great Lakes	US Geography	Y
Lake Michigan	US Geography	Y
Lake Superior	US Geography	Y
